field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,admission,,text,"Record ID",,,,,,,,,,,,,record_id
etu_number,admission,"Demographic details",text,"CTE number",,CTExxx,,,,,,,,,,,etu
etu_participant_id,admission,,text,"Participant ID",,x.yyyy,,,,,,,,,,,etu_participant_id
etu_participant_id_check,admission,,text,"Participant ID check",,x.yyyy,,,,,,,,,,,etu_participant_id_check
sex,admission,,radio,Gender,"1, Male|2, Female",,,,,,,,,,,,demo_group2-sex
dob_available,admission,,radio,"Date of birth available","1, Yes|0, No|99, Unknown",,,,,,,,,,,,demo_group2-dobavailable
dob,admission,,text,"Date of Birth",,,date_dmy,,,y,"[dob_available] = '1'",,,,,,dob
age,admission,,text,"Age at admission",,"in years or months or days",,,,,,,,,,,age
occupation,admission,,radio,"Patient occupation","1, Healthcare worker|2, Non-healthcare worker|99, Unknown",,,,,,,,,,,,demo_group3-occupation
occupation_details,admission,,text,"Occupation details",,,,,,,,,,,,,demo_group3-occupation_details
date_adm_hosp,admission,,text,"Date of admission to hospital",,,date_dmy,,,,,,,,,,initial_admission-admission_hospital
adm_transferred,admission,,radio,"Was the patient transferred from another facility?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,initial_admission-transferred
transferred_from,admission,,text,"If yes, name of facility",,,,,,,"[adm_transferred] = '1'",,,,,,transferred_from
obs_heart,admission,"Vital signs at admission",text,"Heart rate (bpm)",,,integer,,,,,,,,,,obs-heart
obs_systolic,admission,,text,"Systolic blood pressure (mmHg)",,,integer,,,,,,,,,,obs-systolic
obs_diastolic,admission,,text,"Diastolic blood pressure (mmHg)",,,integer,,,,,,,,,,obs-diastolic
obs_resp_rate,admission,,text,"Respiration rate (per min)",,,integer,,,,,,,,,,obs-resp_rate
obs_saturation,admission,,text,"Oxygen saturation (%)",,,integer,,,,,,,,,,obs-saturation
obs_temp,admission,,text,"Temperature (°C)",,,number_1dp,,,,,,,,,,obs-temperature
obs_avpu,admission,,text,"Mental status",,"A, V, P, U",,,,,,,,,,,obs-avpu_level
obs_muac,admission,,text,"Mid-upper arm circumference (MUAC) [mm]",,,integer,,,,,,,,,,obs2-muac
obs_weight,admission,,text,"Weight (kg)",,,number_1dp,,,,,,,,,,obs2-weight
obs_height,admission,,text,"Height (cm)",,,integer,,,,,,,,,,obs2-height
obs_cap_refill,admission,,radio,"Capillary refill >3 sec?","1, Refill less than 3s|2, Refill more than 3s|99, Unknown",,,,,,,,,,,,obs2-caprefil
admission_date_onset,admission,"Clinical details on admission",text,"Date of onset (first symptoms)",,,date_dmy,,,,,,,,,,admission_group-onset
admission_date_isolation,admission,,text,"Date of admission to isolation unit",,,date_dmy,,,,,,,,,,admission_group-admission_isolation
pregnant,admission,,radio,"Is the patient pregnant?","1, Yes|0, No|99, Unknown",,,,,,"[sex] = '2'",,,,,,pregnant
comorbid_notes,admission,"Comorbid conditions",text,"Notes on comorbidity",,,,,,,,,,,,,comorbid_notes
comorbid,admission,,radio,"Does the patient have any comorbid conditions?","1, Yes|0, No|99, Unknown",,,,,,,,,,,,comorbid
comorbid_tb,admission,,radio,Tuberculosis,"1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity1,,overall_comorbid-comorbid_1-tb
comorbid_hepatitis,admission,,radio,Hepatitis,"1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity1,,overall_comorbid-comorbid_1-hepatitis
comorbid_diabetes,admission,,radio,Diabetes,"1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity1,,overall_comorbid-comorbid_1-diabetes
comorbid_hiv,admission,,radio,HIV,"1, Yes and on ART|2, Yes and not on ART|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,,,overall_comorbid-comorbid_1-hiv
comorbid_liver_disease,admission,,radio,"Chronic liver disease","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-liver_disease
comorbid_malignancy,admission,,radio,Malignancy/Chemotherapy,"1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-malignancy
comorbid_heart_failure,admission,,radio,"Chronic heart failure including congenital disease","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-heart_failure
comorbid_pulmo_disease,admission,,radio,"Chronic pulmonary disease ","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-pulmonary_disease
comorbid_ckd,admission,,radio,"Chronic kindey disease","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-ckd
comorbid_neurological,admission,,radio,"Chronic neurological condtion","1, Yes|0, No|99, Unknown",,,,,,"[comorbid] = '1'",,,,comorbidity,,overall_comorbid-comorbid_2-neurological
comorbid_other,admission,,text,"Other, please specify",,,,,,,"[comorbid] = '1'",,,,,,overall_comorbid-comorbid_2-other_comorbid
symptoms_note,admission,"Symptoms on presentation",text,"Notes on symptoms",,,,,,,,,,,,,symptoms_note
symptoms_fever,admission,,radio,Fever,"1, Yes|0, No|99, Unknown",,,,,,,,,,symptoms_adm,,symptoms_1-fever
